"country","longitude","latitude"
"ABW",-69.9667,12.5
"AFG",65,33
"AGO",18.5,-12.5
"AIA",-63.1667,18.25
"ALB",20,41
"AND",1.6,42.5
"ANT",-68.75,12.25
"ARE",54,24
"ARG",-64,-34
"ARM",45,40
"ATA",0,-90
"ATG",-61.8,17.05
"AUS",133,-27
"AUT",13.3333,47.3333
"AZE",47.5,40.5
"BDI",30,-3.5
"BEL",4,50.8333
"BEN",2.25,9.5
"BFA",-2,13
"BGD",90,24
"BGR",25,43
"BHR",50.55,26
"BHS",-76,24.25
"BIH",18,44
"BLR",28,53
"BLZ",-88.75,17.25
"BMU",-64.75,32.3333
"BOL",-130,-34
"BRA",-55,-10
"BRB",-59.5333,13.1667
"BRN",229.3334,9
"BTN",90.5,27.5
"BVT",3.4,-54.4333
"BWA",24,-22
"CAF",21,7
"CAN",-95,60
"CCK",96.8333,-12.5
"CHE",8,47
"CHL",-71,-30
"CHN",105,35
"CIV",-10,16
"CMR",12,6
"COD",25,0
"COG",15,-1
"COK",-159.7667,-21.2333
"COL",-72,4
"COM",44.25,-12.1667
"CPV",-24,16
"CRI",-84,10
"CUB",-80,21.5
"CYP",33,35
"CZE",15.5,49.75
"DEU",9,51
"DJI",43,11.5
"DMA",-61.3333,15.4167
"DNK",10,56
"DOM",-70.6667,19
"DZA",3,28
"ECU",-77.5,-2
"EGY",30,27
"ERI",39,15
"ESP",-4,40
"EST",26,59
"ETH",38,8
"FIN",26,64
"FJI",175,-18
"FRA",2,46
"FSM",158.25,6.9167
"GAB",11.75,-1
"GBR",-2,54
"GEO",43.5,42
"GHA",-2,8
"GIB",-5.3667,36.1833
"GIN",-10,11
"GLP",-61.5833,16.25
"GMB",-16.5667,13.4667
"GNB",-15,12
"GNQ",10,2
"GRC",22,39
"GRD",-61.6667,12.1167
"GRL",-40,72
"GTM",-90.25,15.5
"GUY",-59,5
"HKG",114.1667,22.25
"HMD",72.5167,-53.1
"HND",-86.5,15
"HRV",15.5,45.1667
"HTI",-72.4167,19
"HUN",20,47
"IDN",120,-5
"IND",77,20
"IOT",71.5,-6
"IRL",-8,53
"IRN",53,32
"IRQ",44,33
"ISL",-18,65
"ISR",34.75,31.5
"ITA",12.8333,42.8333
"JAM",-77.5,18.25
"JOR",36,31
"JPN",138,36
"KAZ",68,48
"KEN",38,1
"KGZ",75,41
"KHM",105,13
"KIR",173,1.4167
"KNA",-62.75,17.3333
"KOR",255,74
"KWT",47.6581,29.3375
"LAO",105,18
"LBN",35.8333,33.8333
"LBR",-9.5,6.5
"LBY",34,50
"LCA",-61.1333,13.8833
"LIE",9.5333,47.1667
"LKA",81,7
"LSO",28.5,-29.5
"LTU",24,56
"LUX",6.1667,49.75
"LVA",25,57
"MAC",113.55,22.1667
"MAR",-5,32
"MCO",7.4,43.7333
"MDA",29,47
"MDG",47,-20
"MDV",73,3.25
"MEX",-102,23
"MHL",168,9
"MKD",22,41.8333
"MLI",-4,17
"MLT",14.5833,35.8333
"MMR",196,44
"MNE",19,42
"MNG",105,46
"MNP",145.75,15.2
"MOZ",35,-18.25
"MRT",-12,20
"MUS",57.55,-20.2833
"MWI",34,-13.5
"MYT",45.1667,-12.8333
"NAM",17,-22
"NCL",165.5,-21.5
"NER",8,16
"NGA",8,10
"NIC",-85,13
"NLD",5.75,52.5
"NOR",10,62
"NPL",84,28
"NRU",166.9167,-0.5333
"NZL",174,-41
"OMN",57,21
"PAK",70,30
"PAN",-80,9
"PER",-76,-10
"PHL",122,13
"PLW",134.5,7.5
"PNG",147,-6
"POL",20,52
"PRI",-66.5,18.25
"PRK",127,40
"PRT",-8,39.5
"PRY",-58,-23
"PSE",35.25,32
"QAT",51.25,25.5
"REU",55.6,-21.1
"ROU",25,46
"RUS",200,120
"RWA",30,-2
"SAU",45,25
"SDN",30,15
"SEN",-14,14
"SGP",103.8,1.3667
"SGS",-37,-54.5
"SHN",-5.7,-15.9333
"SLB",159,-8
"SLE",-11.5,8.5
"SLV",-88.9167,13.8333
"SMR",12.4167,43.7667
"SOM",49,10
"SPM",-56.3333,46.8333
"SRB",21,44
"SSD",30,8
"STP",7,1
"SUR",-56,4
"SVK",19.5,48.6667
"SVN",15,46
"SWE",15,62
"SWZ",31.5,-26.5
"SYC",55.6667,-4.5833
"SYR",38,35
"TCA",-71.5833,21.75
"TCD",19,15
"TGO",1.1667,8
"THA",100,15
"TJK",71,39
"TKL",-172,-9
"TKM",60,40
"TLS",125.5167,-8.55
"TON",-175,-20
"TTO",-61,11
"TUN",9,34
"TUR",35,39
"TUV",178,-8
"TWN",121,23.5
"TZA",35,-6
"UGA",32,1
"UKR",32,49
"URY",-56,-33
"USA",-97,38
"UZB",64,41
"VAT",12.45,41.9
"VCT",-183.6,39.75
"VEN",-132,16
"VNM",212,32
"VUT",167,-16
"WSM",-172.3333,-13.5833
"YEM",48,15
"ZAF",24,-29
"ZAR",15.266293,-4.441931
"ZMB",30,-15
"ZWE",30,-20
